region,Country,Date_confirmation,female,male,unknown,Total
Europe & Central Asia,Germany,2022-06-24,0,0,110,110
Europe & Central Asia,England,2022-06-24,0,0,107,107
Europe & Central Asia,Netherlands,2022-06-24,0,0,44,44
Europe & Central Asia,Italy,2022-06-24,0,0,42,42
Europe & Central Asia,Portugal,2022-06-24,0,0,20,20
Europe & Central Asia,Austria,2022-06-24,0,0,8,8
Europe & Central Asia,Scotland,2022-06-24,0,0,8,8
Europe & Central Asia,Hungary,2022-06-24,0,0,6,6
Middle East & North Africa,Israel,2022-06-24,0,0,3,3
Europe & Central Asia,Switzerland,2022-06-24,0,0,3,3
Europe & Central Asia,Norway,2022-06-24,0,0,2,2
Europe & Central Asia,Wales,2022-06-24,0,0,2,2
East Asia & Pacific,Taiwan,2022-06-24,0,1,0,1
Europe & Central Asia,Spain,2022-06-23,0,0,215,215
Europe & Central Asia,Germany,2022-06-23,0,0,74,74
Europe & Central Asia,France,2022-06-23,0,0,53,53
North America,Canada,2022-06-23,0,12,13,25
North America,United States,2022-06-23,0,0,17,17
Europe & Central Asia,Ireland,2022-06-23,0,0,14,14
Europe & Central Asia,Portugal,2022-06-23,0,11,0,11
Europe & Central Asia,Switzerland,2022-06-23,0,0,6,6
Latin America & Caribbean,Colombia,2022-06-23,0,0,3,3
Europe & Central Asia,Sweden,2022-06-23,0,0,3,3
Europe & Central Asia,Bulgaria,2022-06-23,0,2,0,2
Middle East & North Africa,Malta,2022-06-23,0,0,2,2
Latin America & Caribbean,Argentina,2022-06-23,0,1,0,1
Europe & Central Asia,Croatia,2022-06-23,0,1,0,1
Europe & Central Asia,Netherlands,2022-06-22,0,0,72,72
Europe & Central Asia,Germany,2022-06-22,0,0,54,54
North America,United States,2022-06-22,0,0,14,14
Europe & Central Asia,Portugal,2022-06-22,0,13,0,13
Europe & Central Asia,Switzerland,2022-06-22,0,0,5,5
Latin America & Caribbean,Brazil,2022-06-22,0,0,2,2
Middle East & North Africa,Israel,2022-06-22,0,0,2,2
